SubjectID,Age,WeightPRE,WeightPOST,Height,SES,GenderSTR,GenderCoded,q1,q2,q3,q4,q5,q6
1,45,68,145,5.6,9,m,1,4,,,4,4,5
2,50,167,166,5.4,2,f,2,3,4,1,40,3,2
3,35,143,135,5.6,2,,,3,4,2,3,5,2
4,44,216,201,5.6,2,m,1,4,2,2,1,1,9
5,32,243,223,6,2,m,1,5,3,5,2,4,1
6,48,165,145,5.2,2,f,2,2,5,5,1,4,5
8,50,60,132,3.3,2,m,1,3,,4,3,9,2
9,51,110,108,5.1,3,f,2,1,4,1,3,1,4
12,46,167,158,5.5,2,F,2,1,1,5,5,1,2
14,35,190,200,5.8,1,Male,1,4,44,1,1,4,5
16,36,230,210,6.2,1,m,1,1,1,3,,5,2
19,40,200,195,6.1,1,f,2,1,4,4,4,1,5
21,99,180,185,5.9,3,f,2,2,5,5,2,5,4
22,52,240,220,6.5,2,m,1,2,2,2,4,99,5
23,24,250,240,6.4,2,M,1,5,5,3,2,5,3
24,35,175,174,5.8,2,F,2,5,9,1,4,2,4
27,51,220,221,6.3,2,m,1,4,1,4,2,3,3
28,43,230,98,2.6,2,m,1,11,4,9,,,
30,36,190,180,5.7,1,female,2,5,1,1,,,
32,44,260,109,6.4,3,male,1,1,2,1,,,
,,,,,,,,,4,4,,,
